FID,OBJECTID,CBSA_ID,NAME,CBSA_TYPE,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,1,10100,"Aberdeen, SD",Micropolitan,43844,15.21,40602,14.1,38038,199,1123,360,42,554,169,671,19864,20738,2734,2576,2553,2733,3001,4899,4432,5933,4985,3089,2385,1282,39.3,37.7,40.8,17096,2.27,2518,3098,3364,5088,430,960,10431,2.89,18672,1576,11585,5511,2881.97,4.84680650783,0.859626602016,15204223677.832,605973.86142281
2,2,10140,"Aberdeen, WA",Micropolitan,74215,38.46,72797,37.6,61825,803,3325,1032,182,6272,2817,2813,37357,35440,4260,4141,4493,4770,4312,8560,8606,10883,10923,6869,3531,1449,41.9,40.6,43.3,28579,2.45,3774,4102,4750,8632,1089,2188,18493,2.94,35166,6587,19376,9203,1929.65,5.81689394293,0.592742515173,10801047382,755951.435046953
3,3,10180,"Abilene, TX",Metropolitan,174841,63.4,165252,59.9,131508,12184,1084,2209,132,35108,13268,4867,83018,82234,11582,10796,10422,12211,15624,22755,19043,22350,17886,11871,7719,2993,34.6,33.3,36.2,62206,2.49,7660,9099,13195,17849,1710,5389,41575,3.02,69721,7515,40042,22164,2757.71,3.81904598131,0.684979103742,10059005268.7188,461464.892052308
4,4,10220,"Ada, OK",Micropolitan,39006,53.78,37492,51.7,26687,902,6512,244,17,1523,425,2705,18192,19300,2588,2449,2311,2841,3482,4799,4159,4993,4300,3006,1860,704,35.7,34,37.3,14654,2.44,1821,2339,3000,4207,425,1151,9698,2.99,16595,1941,9758,4896,725.24,2.22267228474,0.184871060098,2787484215.66797,276761.775776237
5,5,10300,"Adrian, MI",Micropolitan,100181,131.57,99892,131.2,92174,2539,475,519,26,7614,1967,2192,50458,49434,5689,6227,6785,7676,6217,11036,12985,15241,13456,7847,4767,1966,40.1,38.5,41.6,37514,2.52,4169,5231,8126,12388,1055,2678,26266,3,43452,5938,29068,8446,761.41,1.91760208702,0.21394720379,3561744967.05078,241414.017207227
6,6,10380,"Aguadilla-Isabela, PR",Metropolitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.59,2.6565064688,0.105061111274,1371551920.1377,302404.935122197
7,7,10420,"Akron, OH",Metropolitan,712942,771.43,703200,760.9,585423,84807,1311,14190,173,10733,3015,14281,340853,362347,39714,42180,45988,52729,51192,82263,88971,108958,91418,51103,34055,14629,39.5,38,40.7,285003,2.4,36553,46175,53069,78930,6862,23683,181867,2.98,312581,27578,194613,90390,924.18,2.33259372061,0.256750073924,4225303480.02344,291441.124691081
8,8,10460,"Alamogordo, NM",Micropolitan,65762,9.92,63797,9.6,46352,2251,4271,749,153,22026,7352,2669,32194,31603,4778,4383,4164,4355,4915,8263,7117,8747,7523,5493,3158,901,36.5,34.9,38.2,24464,2.51,3462,3169,5061,7218,824,2158,16641,3.05,30992,6528,16580,7884,6626.56,5.92124009874,1.64899100189,24260400021.6211,717507.82333432
9,9,10500,"Albany, GA",Metropolitan,155250,96.5,157308,80.3,70063,82029,368,1481,148,3270,1348,1871,74573,82735,11338,11204,11371,12504,12084,19792,19412,21772,18968,10647,6000,2216,35.2,33.6,36.6,59319,2.56,6814,9093,10452,14079,1507,9101,40536,3.1,66060,6741,34058,25261,1608.82,3.46188409837,0.396183003014,5767101023.35938,412212.581901862
10,10,10540,"Albany-Lebanon, OR",Metropolitan,126129,54.68,116672,50.5,105669,534,1488,1111,162,9127,3888,3820,57578,59094,7680,7671,8078,7812,6823,14341,14148,16347,15781,9948,5583,2460,39.2,38.2,40.2,45204,2.55,4966,6052,9302,14229,1506,3348,30976,3.01,48821,3617,29427,15777,2306.54,4.77659363747,0.675858276202,11740247945.5156,598098.29923249
11,11,10580,"Albany-Schenectady-Troy, NY",Metropolitan,906860,315.07,870716,302.5,739196,67361,2072,27192,287,36027,13226,21382,425075,445641,47025,50439,54005,64066,65031,105545,113257,135943,113187,62125,40669,19424,39.7,38.1,41,355301,2.36,47608,60005,66050,94561,9006,26853,217938,2.96,393297,37996,228741,126560,2878.27,5.06384570732,0.820173363707,13849738337.5039,647880.464277952
12,12,10620,"Albemarle, NC",Micropolitan,62630,154.69,60585,149.6,50623,6630,197,1118,42,2166,1271,704,30111,30474,3590,3806,3855,4234,3815,6648,8162,9038,7930,5311,3101,1095,40.5,39.1,41.9,23589,2.48,2672,3415,4933,7692,718,1794,16585,2.97,27110,3521,17141,6448,404.87,1.64595551035,0.103929226212,1578286920.60547,204638.163666974
13,13,10660,"Albert Lea, MN",Micropolitan,30920,42.8,31255,43.3,29121,231,68,238,18,2750,1061,518,15462,15793,1921,1897,1862,1910,1536,3329,3495,4779,4217,3036,2147,1126,44.1,42.7,45.5,13177,2.32,1734,2227,2305,4528,353,810,8555,2.85,14231,1054,10089,3088,722.42,1.89545197801,0.208822573455,3577781800.32813,240692.062064898
14,14,10700,"Albertville, AL",Micropolitan,95117,152.63,93019,149.3,81464,1494,706,478,103,11238,7210,1564,45843,47176,6546,6362,6341,6568,5584,11364,12179,13008,11205,8013,4456,1393,38,36.5,39.5,35810,2.57,3866,5237,8194,10938,1132,2900,25328,3.05,40342,4532,25318,10492,623.19,2.22304718358,0.158180317538,2374713103,273657.813396441
15,15,10740,"Albuquerque, NM",Metropolitan,931402,100.2,887077,95.4,617629,23742,51987,17924,927,414222,136567,38301,435807,451270,60565,60951,60205,61806,61993,122205,113313,128422,108655,60789,34254,13919,36.4,35.2,37.6,347366,2.51,46705,52359,67896,85125,13724,31842,222811,3.1,374404,27038,233579,113787,9295.58,9.06881643684,2.38082308569,36073878712.7695,1106364.75816306
16,16,10760,"Alexander City, AL",Micropolitan,41816,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.6,3.15628169755,0.357587813571,5277506514.32813,377508.50262807
