"GEO_ID","id",
"NAME","Geographic Area Name",
"S0701_C01_001E","Total!!Estimate!!Population 1 year and over",
"S0701_C01_001M","Total!!Margin of Error!!Population 1 year and over",
"S0701_C01_002E","Total!!Estimate!!AGE!!1 to 4 years",
"S0701_C01_002M","Total!!Margin of Error!!AGE!!1 to 4 years",
"S0701_C01_003E","Total!!Estimate!!AGE!!5 to 17 years",
"S0701_C01_003M","Total!!Margin of Error!!AGE!!5 to 17 years",
"S0701_C01_004E","Total!!Estimate!!AGE!!18 to 24 years",
"S0701_C01_004M","Total!!Margin of Error!!AGE!!18 to 24 years",
"S0701_C01_005E","Total!!Estimate!!AGE!!25 to 34 years",
"S0701_C01_005M","Total!!Margin of Error!!AGE!!25 to 34 years",
"S0701_C01_006E","Total!!Estimate!!AGE!!35 to 44 years",
"S0701_C01_006M","Total!!Margin of Error!!AGE!!35 to 44 years",
"S0701_C01_007E","Total!!Estimate!!AGE!!45 to 54 years",
"S0701_C01_007M","Total!!Margin of Error!!AGE!!45 to 54 years",
"S0701_C01_008E","Total!!Estimate!!AGE!!55 to 64 years",
"S0701_C01_008M","Total!!Margin of Error!!AGE!!55 to 64 years",
"S0701_C01_009E","Total!!Estimate!!AGE!!65 to 74 years",
"S0701_C01_009M","Total!!Margin of Error!!AGE!!65 to 74 years",
"S0701_C01_010E","Total!!Estimate!!AGE!!75 years and over",
"S0701_C01_010M","Total!!Margin of Error!!AGE!!75 years and over",
"S0701_C01_011E","Total!!Estimate!!Median age (years)",
"S0701_C01_011M","Total!!Margin of Error!!Median age (years)",
"S0701_C01_012E","Total!!Estimate!!SEX!!Male",
"S0701_C01_012M","Total!!Margin of Error!!SEX!!Male",
"S0701_C01_013E","Total!!Estimate!!SEX!!Female",
"S0701_C01_013M","Total!!Margin of Error!!SEX!!Female",
"S0701_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S0701_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S0701_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S0701_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S0701_C01_016E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S0701_C01_016M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S0701_C01_017E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S0701_C01_017M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S0701_C01_018E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
"S0701_C01_018M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
"S0701_C01_019E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander",
"S0701_C01_019M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander",
"S0701_C01_020E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race",
"S0701_C01_020M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race",
"S0701_C01_021E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S0701_C01_021M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S0701_C01_022E","Total!!Estimate!!Hispanic or Latino origin (of any race)",
"S0701_C01_022M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)",
"S0701_C01_023E","Total!!Estimate!!White alone, not Hispanic or Latino",
"S0701_C01_023M","Total!!Margin of Error!!White alone, not Hispanic or Latino",
"S0701_C01_024E","Total!!Estimate!!CITIZENSHIP STATUS!!Native",
"S0701_C01_024M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Native",
"S0701_C01_025E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born",
"S0701_C01_025M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born",
"S0701_C01_026E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen",
"S0701_C01_026M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen",
"S0701_C01_027E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen",
"S0701_C01_027M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen",
"S0701_C01_028E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over",
"S0701_C01_028M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over",
"S0701_C01_029E","Total!!Estimate!!MARITAL STATUS!!Never married",
"S0701_C01_029M","Total!!Margin of Error!!MARITAL STATUS!!Never married",
"S0701_C01_030E","Total!!Estimate!!MARITAL STATUS!!Now married, except separated",
"S0701_C01_030M","Total!!Margin of Error!!MARITAL STATUS!!Now married, except separated",
"S0701_C01_031E","Total!!Estimate!!MARITAL STATUS!!Divorced or separated",
"S0701_C01_031M","Total!!Margin of Error!!MARITAL STATUS!!Divorced or separated",
"S0701_C01_032E","Total!!Estimate!!MARITAL STATUS!!Widowed",
"S0701_C01_032M","Total!!Margin of Error!!MARITAL STATUS!!Widowed",
"S0701_C01_033E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over",
"S0701_C01_033M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over",
"S0701_C01_034E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate",
"S0701_C01_034M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than high school graduate",
"S0701_C01_035E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)",
"S0701_C01_035M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)",
"S0701_C01_036E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree",
"S0701_C01_036M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree",
"S0701_C01_037E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree",
"S0701_C01_037M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree",
"S0701_C01_038E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree",
"S0701_C01_038M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree",
"S0701_C01_039E","Total!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over",
"S0701_C01_039M","Total!!Margin of Error!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over",
"S0701_C01_040E","Total!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!$1 to $9,999 or loss",
"S0701_C01_040M","Total!!Margin of Error!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!$1 to $9,999 or loss",
"S0701_C01_041E","Total!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999",
"S0701_C01_041M","Total!!Margin of Error!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999",
"S0701_C01_042E","Total!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $24,999",
