"GEO_ID","id",
"NAME","Geographic Area Name",
"S1401_C01_001E","Total!!Estimate!!Population 3 years and over enrolled in school",
"S1401_C01_001M","Total!!Margin of Error!!Population 3 years and over enrolled in school",
"S1401_C01_002E","Total!!Estimate!!Nursery school, preschool",
"S1401_C01_002M","Total!!Margin of Error!!Nursery school, preschool",
"S1401_C01_003E","Total!!Estimate!!Kindergarten to 12th grade",
"S1401_C01_003M","Total!!Margin of Error!!Kindergarten to 12th grade",
"S1401_C01_004E","Total!!Estimate!!Kindergarten to 12th grade!!Kindergarten",
"S1401_C01_004M","Total!!Margin of Error!!Kindergarten to 12th grade!!Kindergarten",
"S1401_C01_005E","Total!!Estimate!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",
"S1401_C01_005M","Total!!Margin of Error!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",
"S1401_C01_006E","Total!!Estimate!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",
"S1401_C01_006M","Total!!Margin of Error!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",
"S1401_C01_007E","Total!!Estimate!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",
"S1401_C01_007M","Total!!Margin of Error!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",
"S1401_C01_008E","Total!!Estimate!!College, undergraduate",
"S1401_C01_008M","Total!!Margin of Error!!College, undergraduate",
"S1401_C01_009E","Total!!Estimate!!Graduate, professional school",
"S1401_C01_009M","Total!!Margin of Error!!Graduate, professional school",
"S1401_C01_010E","Total!!Estimate!!Percent of age group enrolled in school!!3 and 4 years",
"S1401_C01_010M","Total!!Margin of Error!!Percent of age group enrolled in school!!3 and 4 years",
"S1401_C01_011E","Total!!Estimate!!Percent of age group enrolled in school!!5 to 9 years",
"S1401_C01_011M","Total!!Margin of Error!!Percent of age group enrolled in school!!5 to 9 years",
"S1401_C01_012E","Total!!Estimate!!Percent of age group enrolled in school!!10 to 14 years",
"S1401_C01_012M","Total!!Margin of Error!!Percent of age group enrolled in school!!10 to 14 years",
"S1401_C01_013E","Total!!Estimate!!Percent of age group enrolled in school!!15 to 17 years",
"S1401_C01_013M","Total!!Margin of Error!!Percent of age group enrolled in school!!15 to 17 years",
"S1401_C01_014E","Total!!Estimate!!Percent of age group enrolled in school!!18 and 19 years",
"S1401_C01_014M","Total!!Margin of Error!!Percent of age group enrolled in school!!18 and 19 years",
"S1401_C01_015E","Total!!Estimate!!Percent of age group enrolled in school!!20 to 24 years",
"S1401_C01_015M","Total!!Margin of Error!!Percent of age group enrolled in school!!20 to 24 years",
"S1401_C01_016E","Total!!Estimate!!Percent of age group enrolled in school!!25 to 34 years",
"S1401_C01_016M","Total!!Margin of Error!!Percent of age group enrolled in school!!25 to 34 years",
"S1401_C01_017E","Total!!Estimate!!Percent of age group enrolled in school!!35 years and over",
"S1401_C01_017M","Total!!Margin of Error!!Percent of age group enrolled in school!!35 years and over",
"S1401_C01_018E","Total!!Estimate!!Population 18 years and over",
"S1401_C01_018M","Total!!Margin of Error!!Population 18 years and over",
"S1401_C01_019E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_019M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_020E","Total!!Estimate!!Enrolled in college or graduate school!!Males 18 years and over",
"S1401_C01_020M","Total!!Margin of Error!!Enrolled in college or graduate school!!Males 18 years and over",
"S1401_C01_021E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_021M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_022E","Total!!Estimate!!Enrolled in college or graduate school!!Females 18 years and over",
"S1401_C01_022M","Total!!Margin of Error!!Enrolled in college or graduate school!!Females 18 years and over",
"S1401_C01_023E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_023M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_024E","Total!!Estimate!!Population 18 to 24 years",
"S1401_C01_024M","Total!!Margin of Error!!Population 18 to 24 years",
"S1401_C01_025E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_025M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_026E","Total!!Estimate!!Enrolled in college or graduate school!!Males 18 to 24 years",
"S1401_C01_026M","Total!!Margin of Error!!Enrolled in college or graduate school!!Males 18 to 24 years",
"S1401_C01_027E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_027M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_028E","Total!!Estimate!!Enrolled in college or graduate school!!Females 18 to 24 years",
"S1401_C01_028M","Total!!Margin of Error!!Enrolled in college or graduate school!!Females 18 to 24 years",
"S1401_C01_029E","Total!!Estimate!!Enrolled in college or graduate school",
"S1401_C01_029M","Total!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C01_030E","Total!!Estimate!!PERCENT IMPUTED!!School enrollment",
"S1401_C01_030M","Total!!Margin of Error!!PERCENT IMPUTED!!School enrollment",
"S1401_C01_031E","Total!!Estimate!!PERCENT IMPUTED!!Grade enrolled",
"S1401_C01_031M","Total!!Margin of Error!!PERCENT IMPUTED!!Grade enrolled",
"S1401_C02_001E","Percent of enrolled population!!In public school!!Estimate!!Population 3 years and over enrolled in school",
"S1401_C02_001M","Percent of enrolled population!!In public school!!Margin of Error!!Population 3 years and over enrolled in school",
"S1401_C02_002E","Percent of enrolled population!!In public school!!Estimate!!Nursery school, preschool",
"S1401_C02_002M","Percent of enrolled population!!In public school!!Margin of Error!!Nursery school, preschool",
"S1401_C02_003E","Percent of enrolled population!!In public school!!Estimate!!Kindergarten to 12th grade",
"S1401_C02_003M","Percent of enrolled population!!In public school!!Margin of Error!!Kindergarten to 12th grade",
"S1401_C02_004E","Percent of enrolled population!!In public school!!Estimate!!Kindergarten to 12th grade!!Kindergarten",
"S1401_C02_004M","Percent of enrolled population!!In public school!!Margin of Error!!Kindergarten to 12th grade!!Kindergarten",
"S1401_C02_005E","Percent of enrolled population!!In public school!!Estimate!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",
"S1401_C02_005M","Percent of enrolled population!!In public school!!Margin of Error!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",
"S1401_C02_006E","Percent of enrolled population!!In public school!!Estimate!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",
"S1401_C02_006M","Percent of enrolled population!!In public school!!Margin of Error!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",
"S1401_C02_007E","Percent of enrolled population!!In public school!!Estimate!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",
"S1401_C02_007M","Percent of enrolled population!!In public school!!Margin of Error!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",
"S1401_C02_008E","Percent of enrolled population!!In public school!!Estimate!!College, undergraduate",
"S1401_C02_008M","Percent of enrolled population!!In public school!!Margin of Error!!College, undergraduate",
"S1401_C02_009E","Percent of enrolled population!!In public school!!Estimate!!Graduate, professional school",
"S1401_C02_009M","Percent of enrolled population!!In public school!!Margin of Error!!Graduate, professional school",
"S1401_C02_010E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!3 and 4 years",
"S1401_C02_010M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!3 and 4 years",
"S1401_C02_011E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!5 to 9 years",
"S1401_C02_011M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!5 to 9 years",
"S1401_C02_012E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!10 to 14 years",
"S1401_C02_012M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!10 to 14 years",
"S1401_C02_013E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!15 to 17 years",
"S1401_C02_013M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!15 to 17 years",
"S1401_C02_014E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!18 and 19 years",
"S1401_C02_014M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!18 and 19 years",
"S1401_C02_015E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!20 to 24 years",
"S1401_C02_015M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!20 to 24 years",
"S1401_C02_016E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!25 to 34 years",
"S1401_C02_016M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!25 to 34 years",
"S1401_C02_017E","Percent of enrolled population!!In public school!!Estimate!!Percent of age group enrolled in school!!35 years and over",
"S1401_C02_017M","Percent of enrolled population!!In public school!!Margin of Error!!Percent of age group enrolled in school!!35 years and over",
"S1401_C02_018E","Percent of enrolled population!!In public school!!Estimate!!Population 18 years and over",
"S1401_C02_018M","Percent of enrolled population!!In public school!!Margin of Error!!Population 18 years and over",
"S1401_C02_019E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_019M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_020E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school!!Males 18 years and over",
"S1401_C02_020M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school!!Males 18 years and over",
"S1401_C02_021E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_021M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_022E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school!!Females 18 years and over",
"S1401_C02_022M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school!!Females 18 years and over",
"S1401_C02_023E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_023M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_024E","Percent of enrolled population!!In public school!!Estimate!!Population 18 to 24 years",
"S1401_C02_024M","Percent of enrolled population!!In public school!!Margin of Error!!Population 18 to 24 years",
"S1401_C02_025E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_025M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_026E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school!!Males 18 to 24 years",
"S1401_C02_026M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school!!Males 18 to 24 years",
"S1401_C02_027E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_027M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_028E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school!!Females 18 to 24 years",
"S1401_C02_028M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school!!Females 18 to 24 years",
"S1401_C02_029E","Percent of enrolled population!!In public school!!Estimate!!Enrolled in college or graduate school",
"S1401_C02_029M","Percent of enrolled population!!In public school!!Margin of Error!!Enrolled in college or graduate school",
"S1401_C02_030E","Percent of enrolled population!!In public school!!Estimate!!PERCENT IMPUTED!!School enrollment",
"S1401_C02_030M","Percent of enrolled population!!In public school!!Margin of Error!!PERCENT IMPUTED!!School enrollment",
"S1401_C02_031E","Percent of enrolled population!!In public school!!Estimate!!PERCENT IMPUTED!!Grade enrolled",
"S1401_C02_031M","Percent of enrolled population!!In public school!!Margin of Error!!PERCENT IMPUTED!!Grade enrolled",
"S1401_C03_001E","Percent of enrolled population!!In private school!!Estimate!!Population 3 years and over enrolled in school",
"S1401_C03_001M","Percent of enrolled population!!In private school!!Margin of Error!!Population 3 years and over enrolled in school",
"S1401_C03_002E","Percent of enrolled population!!In private school!!Estimate!!Nursery school, preschool",
"S1401_C03_002M","Percent of enrolled population!!In private school!!Margin of Error!!Nursery school, preschool",
"S1401_C03_003E","Percent of enrolled population!!In private school!!Estimate!!Kindergarten to 12th grade",
"S1401_C03_003M","Percent of enrolled population!!In private school!!Margin of Error!!Kindergarten to 12th grade",
"S1401_C03_004E","Percent of enrolled population!!In private school!!Estimate!!Kindergarten to 12th grade!!Kindergarten",
"S1401_C03_004M","Percent of enrolled population!!In private school!!Margin of Error!!Kindergarten to 12th grade!!Kindergarten",
