"GEO_ID","id",
"NAME","Geographic Area Name",
"S0802_C01_001E","Total!!Estimate!!Workers 16 years and over",
"S0802_C01_001M","Total!!Margin of Error!!Workers 16 years and over",
"S0802_C01_002E","Total!!Estimate!!AGE!!16 to 19 years",
"S0802_C01_002M","Total!!Margin of Error!!AGE!!16 to 19 years",
"S0802_C01_003E","Total!!Estimate!!AGE!!20 to 24 years",
"S0802_C01_003M","Total!!Margin of Error!!AGE!!20 to 24 years",
"S0802_C01_004E","Total!!Estimate!!AGE!!25 to 44 years",
"S0802_C01_004M","Total!!Margin of Error!!AGE!!25 to 44 years",
"S0802_C01_005E","Total!!Estimate!!AGE!!45 to 54 years",
"S0802_C01_005M","Total!!Margin of Error!!AGE!!45 to 54 years",
"S0802_C01_006E","Total!!Estimate!!AGE!!55 to 59 years",
"S0802_C01_006M","Total!!Margin of Error!!AGE!!55 to 59 years",
"S0802_C01_007E","Total!!Estimate!!AGE!!60 years and over",
"S0802_C01_007M","Total!!Margin of Error!!AGE!!60 years and over",
"S0802_C01_008E","Total!!Estimate!!Median age (years)",
"S0802_C01_008M","Total!!Margin of Error!!Median age (years)",
"S0802_C01_009E","Total!!Estimate!!SEX!!Male",
"S0802_C01_009M","Total!!Margin of Error!!SEX!!Male",
"S0802_C01_010E","Total!!Estimate!!SEX!!Female",
"S0802_C01_010M","Total!!Margin of Error!!SEX!!Female",
"S0802_C01_011E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S0802_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S0802_C01_012E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S0802_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S0802_C01_013E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S0802_C01_013M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S0802_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S0802_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S0802_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
"S0802_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
"S0802_C01_016E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander",
"S0802_C01_016M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander",
"S0802_C01_017E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race",
"S0802_C01_017M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race",
"S0802_C01_018E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S0802_C01_018M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S0802_C01_019E","Total!!Estimate!!Hispanic or Latino origin (of any race)",
"S0802_C01_019M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)",
"S0802_C01_020E","Total!!Estimate!!White alone, not Hispanic or Latino",
"S0802_C01_020M","Total!!Margin of Error!!White alone, not Hispanic or Latino",
"S0802_C01_021E","Total!!Estimate!!CITIZENSHIP STATUS!!Native",
"S0802_C01_021M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Native",
"S0802_C01_022E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born",
"S0802_C01_022M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born",
"S0802_C01_023E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen",
"S0802_C01_023M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen",
"S0802_C01_024E","Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen",
"S0802_C01_024M","Total!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen",
