,CBSA,Latitude,Longitude
501,35004,40.922326,-72.637078
601,10260,18.180103,-66.74947
602,10380,18.363285,-67.18024
603,10380,18.448619,-67.13422
605,10380,18.465162,-67.141486
606,99999,18.182151,-66.9588
610,10380,18.288319,-67.13604000000001
611,46580,18.279531,-66.80216999999999
612,41980,18.449732,-66.69879
616,41980,18.426748,-66.67669000000001
617,41980,18.455499,-66.55575
622,41900,18.003125,-67.16745
623,41900,18.08643,-67.15222
624,49500,18.055398999999998,-66.72601999999999
624,38660,18.055398999999998,-66.72601999999999
627,41980,18.435246,-66.85644
631,10380,18.186739000000003,-66.85174
637,41900,18.073078,-66.94864
638,41980,18.308139,-66.49835
641,46580,18.268895999999998,-66.70519
646,41980,18.442798,-66.27689000000001
647,49500,17.964529000000002,-66.93993
650,41980,18.363331,-66.56773000000001
652,41980,18.457453,-66.61216999999999
653,49500,17.992112,-66.90097
656,49500,18.038866,-66.79168
659,41980,18.432956,-66.80039000000001
659,10380,18.432956,-66.80039000000001
660,32420,18.139108,-67.12085
662,10380,18.478855,-67.01973000000001
664,27580,18.212564999999998,-66.59243000000001
667,41900,18.017819,-67.04226
669,10380,18.288418,-66.87503000000001
670,99999,18.241343,-66.97604
674,41980,18.426137,-66.48697
676,10380,18.37956,-67.08424000000001
677,10380,18.336121,-67.23675
678,41980,18.442334,-66.93275
680,10380,18.205232000000002,-67.12655
680,32420,18.205232000000002,-67.12655
681,32420,18.219023,-67.50806800000001
682,32420,18.208402,-67.15428
683,41900,18.092807,-67.04524
685,10380,18.332595,-66.98104000000001
687,41980,18.317079999999997,-66.41528000000001
688,41980,18.40415,-66.61348000000001
690,10380,18.495369,-67.09867
692,41980,18.419666,-66.33185999999999
693,41980,18.440667,-66.3921
698,49500,18.06547,-66.85587
703,41980,18.246205,-66.12827
704,17620,17.970112,-66.22291
705,41980,18.12942,-66.26541
707,41980,18.014505,-65.91018000000001
714,25020,17.987288,-66.05552
715,38660,18.003492,-66.55868000000001
716,38660,17.999066,-66.59965
717,38660,18.004303,-66.61374
718,41980,18.22048,-65.74293
719,41980,18.294570999999998,-66.25098
720,41980,18.217827,-66.42265
720,38660,18.217827,-66.42265
721,41980,18.364161,-65.778288
723,25020,18.023196,-66.0131
725,41980,18.233926999999998,-66.04502
727,41980,,
728,38660,18.013353,-66.65218
729,41980,18.35615,-65.89089
730,38660,18.022626000000002,-66.61726999999999
731,38660,18.077329000000002,-66.61192
735,21940,18.258444,-65.65987
736,41980,18.112895,-66.15377
738,21940,18.32265,-65.66116
739,41980,18.16984,-66.16271
740,21940,18.331711,-65.62761
741,41980,18.160754999999998,-65.75765
742,21940,18.264872,-65.594769
744,41980,18.206329,-65.74305799999999
745,41980,18.366213000000002,-65.82276999999999
751,17620,17.993803,-66.26534000000001
754,41980,18.15633,-65.96831
757,17620,17.98631,-66.39457
757,42180,17.98631,-66.39457
765,99999,18.125664,-65.45603
766,38660,18.126023,-66.48208000000001
767,41980,18.072751999999998,-65.89703
769,17620,18.092813,-66.3611
771,41980,18.18744,-65.87088
772,41980,18.427674,-65.87605
773,21940,18.361344,-65.72133000000001
773,41980,18.361344,-65.72133000000001
775,99999,18.311149,-65.29257
777,41980,18.224088000000002,-65.91315999999999
778,41980,18.258628,-65.97791
780,38660,18.068538,-66.55939000000001
782,41980,18.223348,-66.2267
783,41980,18.304873999999998,-66.32305
784,25020,17.984137,-66.12779
786,41980,18.128092000000002,-66.26871700000001
791,41980,18.147257,-65.82269000000001
794,41980,18.204294,-66.31058
795,38660,18.036253,-66.50289000000001
802,99999,18.322285,-64.96371500000001
