,RegionName,NAME,CS,Latitude,Longitude
0,10300,"Adrian, MI","[0.6161907370119788 0.6161907370119788 0.6161907370119788
 0.6161907370119788 0.6161907370119788 0.7677252532751064
 -0.30084051903269304 1.6428738884063623 0.30818840882901033
 1.2045960421567177]",42.16489,-83.78387
6003,10420,"Akron, OH","[0.4482930848178312 0.4482930848178312 0.4482930848178312
 0.4482930848178312 0.4482930848178312 0.6956961105193172
 0.21936555572866168 1.649766705881281 0.5034806719836895
 1.0262781692526546]",41.321189,-81.50135
25056,10500,"Albany, GA","[0.3148238486810489 0.3148238486810489 0.3148238486810489
 0.3148238486810489 0.3148238486810489 -1.2310834581980157
 0.5661696055695644 -0.3312947521523022 -1.474323256527733
 -0.6258304013813702]",31.580774,-84.16044000000002
31581,10740,"Albuquerque, NM","[0.14325303020383456 0.14325303020383456 0.14325303020383456
 0.14325303020383456 0.14325303020383456 0.22750668260669477
 1.3531480263623827 0.779682622262317 0.11393286638119073
 0.9017874467532537]",35.388701,-106.42793
48546,10780,"Alexandria, LA","[-0.34369963400741493 -0.34369963400741493 -0.34369963400741493
 -0.34369963400741493 -0.34369963400741493 -0.38474103081750616
 1.9533858049331765 0.5459478789987071 -0.6414477586543933
 -0.17936714116249175]",30.937089,-92.94802
57942,11020,"Altoona, PA","[-2.540048857375455 -2.540048857375455 -2.540048857375455
 -2.540048857375455 -2.540048857375455 0.6776888248303712
 0.43278343255383245 1.9934355189175772 -0.5945361466689959
 0.6225239365960014]",40.384718,-78.6651
62901,11100,"Amarillo, TX","[-0.0009552408780099103 -0.0009552408780099103 -0.0009552408780099103
 -0.0009552408780099103 -0.0009552408780099103 -0.7448867445964473
 2.5803008181071165 -0.36948434576831857 0.07622215066917237
 1.581229891570056]",35.191525,-102.08831
71253,11460,"Ann Arbor, MI","[0.5816447823093752 0.5816447823093752 0.5816447823093752
 0.5816447823093752 0.5816447823093752 1.1999001098098367
 0.6595399266805766 2.3480617853288823 1.3586456650545111
 1.5840251450225957]",42.280887,-83.79146999999998
79083,11540,"Appleton, WI","[-0.5091942853083191 -0.5091942853083191 -0.5091942853083191
 -0.5091942853083191 -0.5091942853083191 1.0558418242982583
 2.006740274139469 2.84940676773856 1.8557532439936946 2.324460945635802]",44.03321500000001,-88.17626
88218,11700,"Asheville, NC","[0.055205272973718966 0.055205272973718966 0.055205272973718966
 0.055205272973718966 0.055205272973718966 0.047433825717224196
 1.0330212111246262 0.2883582445458398 -0.34650071755283396
 1.3288195957583708]",35.712998999999996,-82.63479
101007,11780,"Ashtabula, OH","[0.6119765433859511 0.6119765433859511 0.6119765433859511
 0.6119765433859511 0.6119765433859511 -0.5287993163290821
 2.006740274139469 0.992392829891118 -1.2739769799271135
 0.19480995465769624]",41.611348,-80.5622
106749,12180,"Auburn, NY","[-0.32136347425347 -0.32136347425347 -0.32136347425347 -0.32136347425347
 -0.32136347425347 -0.04260260272751108 -0.0740840249059489
 2.0412731123429984 0.5478004822019379 1.5964968206256596]",42.922273,-76.55882
114318,12620,"Bangor, ME","[0.5308826910497716 0.5308826910497716 0.5308826910497716
 0.5308826910497716 0.5308826910497716 0.929790824475631
 1.7399679281080054 1.938051861651862 -0.5433480617678026
 -0.2006526619621103]",44.81777,-68.78952
126585,12940,"Baton Rouge, LA","[-0.24536845251190734 -0.24536845251190734 -0.24536845251190734
 -0.24536845251190734 -0.24536845251190734 -0.006588031349616462
 1.1930846187435047 0.9225578201387823 0.575403171022075
 0.8525142447772426]",30.103905,-91.00104
150597,12980,"Battle Creek, MI","[0.6337380047637718 0.6337380047637718 0.6337380047637718
 0.6337380047637718 0.6337380047637718 0.5696451106966899
 0.9529895073151873 1.4667353246856631 -0.8625284493922053
 0.26756477751990093]",42.580076,-84.8228
