,RegionName,NAME,CS,Latitude,Longitude
0,10300,"Adrian, MI",0.7300063042727113,42.16489,-83.78387
6003,10420,"Akron, OH",0.8574620060600269,41.321189,-81.50135
25056,10500,"Albany, GA",-0.6519622968869843,31.580774,-84.16044000000002
31581,10740,"Albuquerque, NM",0.8290109905205333,35.388701,-106.42793
48546,10780,"Alexandria, LA",0.2667319750575844,30.937089,-92.94802
57942,11020,"Altoona, PA",0.6049017795632399,40.384718,-78.6651
62901,11100,"Amarillo, TX",0.4449409619492088,35.191525,-102.08831
71253,11460,"Ann Arbor, MI",0.9331216744631265,42.280887,-83.79146999999998
79083,11540,"Appleton, WI",0.9599034752538859,44.03321500000001,-88.17626
88218,11700,"Asheville, NC",0.6032156509194357,35.712998999999996,-82.63479
101007,11780,"Ashtabula, OH",0.23595291456888545,41.611348,-80.5622
106749,12180,"Auburn, NY",0.6866404078443461,42.922273,-76.55882
114318,12620,"Bangor, ME",0.6115517108369436,44.81777,-68.78952
126585,12940,"Baton Rouge, LA",0.8664889814030675,30.103905,-91.00104
150597,12980,"Battle Creek, MI",0.5225306949280831,42.580076,-84.8228
156861,13020,"Bay City, MI",0.7520443000965367,43.473075,-83.94479
161037,13180,"Beaver Dam, WI",0.8565876273049404,43.211067,-88.51649
168606,13380,"Bellingham, WA",0.8749610052227714,48.681582,-122.1977
173304,13460,"Bend, OR",0.8031232572901227,44.091256,-121.29769
175653,13780,"Binghamton, NY",0.830524633092711,42.232991,-75.53429
187920,14020,"Bloomington, IN",0.6615124520926172,39.513388,-86.79169
198360,14500,"Boulder, CO",0.9640427426461459,39.93404,-105.05454
205146,14540,"Bowling Green, KY",0.5381241308153292,37.010643,-86.46145
210627,15260,"Brunswick, GA",0.23908723626168585,31.495071000000006,-81.381908
215847,15500,"Burlington, NC",0.23031868561688432,36.031836,-79.48564300000002
219501,16300,"Cedar Rapids, IA",0.889001182923078,42.325098,-92.19383
235422,16540,"Chambersburg, PA",0.8282547560247974,39.931123,-77.66139
244296,16620,"Charleston, WV",0.7968454218964197,38.254483,-81.79045
274311,16820,"Charlottesville, VA",0.9343542819393867,38.072402,-78.50149
287100,17020,"Chico, CA",0.5294507775314496,39.15973,-121.53735
293364,17060,"Chillicothe, OH",0.0031342903181569596,39.466041,-82.7457
297801,17340,"Clearlake, CA",-0.3587569916371236,38.956206,-122.63523
301977,17420,"Cleveland, TN",-0.037914956638697726,35.172376,-84.63913000000002
306414,17660,"Coeur d'Alene, ID",0.7253335999848732,47.943718,-116.66605
310329,17820,"Colorado Springs, CO",0.9693694643123516,39.148692,-104.5635
324162,17860,"Columbia, MO",0.8112791735771856,38.784123,-92.24395
329121,17900,"Columbia, SC",0.9406855826244944,34.126535,-81.234811
347130,18140,"Columbus, OH",0.9699299139458464,40.091576,-82.61225
386019,18180,"Concord, NH",0.9822142414951189,43.14174600000001,-71.2488
