,index,NAME,CS
152,152,"Oak Harbor, WA",0.9864348384026013
46,46,"Concord, NH",0.9822142414951193
132,132,"Madison, WI",0.9819242960953497
182,182,"Rochester, MN",0.9806654232513065
112,112,"Keene, NH",0.9765926474996014
139,139,"Midland, MI",0.9738848930045463
45,45,"Columbus, OH",0.9699299139458462
232,232,"Warner Robins, GA",0.955690078445399
157,157,"Olympia, WA",0.9479562479925713
51,51,"Crestview-Fort Walton Beach-Destin, FL",0.9444587848871526
44,44,"Columbia, SC",0.9406855826244946
162,162,"Peoria, IL",0.9400642828597182
83,83,"Glens Falls, NY",0.9379737778058552
73,73,"Fond du Lac, WI",0.9344115718509011
35,35,"Charlottesville, VA",0.934354281939387
189,189,"St. Cloud, MN",0.933128749427241
8,8,"Ann Arbor, MI",0.9331216744631268
175,175,"Rapid City, SD",0.9126479989999594
66,66,"Fairbanks, AK",0.9099613748400612
194,194,"Salt Lake City, UT",0.9027990024175324
123,123,"Lawrence, KS",0.9024611725938175
20,20,"Billings, MT",0.8991738932808309
90,90,"Green Bay, WI",0.8983280877078854
179,179,"Richmond, VA",0.8983097428118855
114,114,"Kingston, NY",0.8972574651895877
144,144,"Monroe, MI",0.88601837104914
29,29,"Casper, WY",0.8810430275618202
174,174,"Racine, WI",0.8794313384372923
18,18,"Bellingham, WA",0.8749610052227716
241,241,"Worcester, MA",0.8744962073515885
75,75,"Frankfort, KY",0.8681045617141997
208,208,"Spokane, WA",0.8647207725365161
33,33,"Champaign-Urbana, IL",0.858107634588536
1,1,"Akron, OH",0.8574620060600273
17,17,"Beaver Dam, WI",0.8565876273049406
86,86,"Grand Junction, CO",0.8536474092663112
82,82,"Gettysburg, PA",0.8493244905389628
237,237,"Wilmington, NC",0.840285409213889
215,215,"Stevens Point, WI",0.8399166771458878
98,98,"Idaho Falls, ID",0.8386206560661961
224,224,"Torrington, CT",0.8378556875799903
74,74,"Fort Wayne, IN",0.8307787137765715
3,3,"Albuquerque, NM",0.8290109905205338
32,32,"Chambersburg, PA",0.8282547560247977
220,220,"Tallahassee, FL",0.8258534327802264
95,95,"Hilo, HI",0.8144867476929787
43,43,"Columbia, MO",0.8112791735771856
19,19,"Bend, OR",0.8031232572901225
180,180,"Roanoke, VA",0.7948089033059516
125,125,"Lebanon, PA",0.7924195025864746
184,184,"Rockford, IL",0.7913272952435606
195,195,"Sandusky, OH",0.7864099797464611
240,240,"Wooster, OH",0.7839499659772913
141,141,"Missoula, MT",0.78163045665354
57,57,"Dover, DE",0.7792951320995853
176,176,"Reading, PA",0.778232388817014
129,129,"Lumberton, NC",0.7704002387411367
225,225,"Tucson, AZ",0.7679603331332552
164,164,"Pittsfield, MA",0.7629829594536265
235,235,"Whitewater, WI",0.7628402254951758
166,166,"Pocatello, ID",0.7597667057747933
234,234,"Wausau, WI",0.758897021937476
197,197,"Savannah, GA",0.7543825450960022
222,222,"The Villages, FL",0.7521400568804085
193,193,"Salisbury, MD",0.7445867232499761
150,150,"Napa, CA",0.7394165370250269
170,170,"Pottsville, PA",0.7369466790876017
58,58,"East Stroudsburg, PA",0.7342204950871297
0,0,"Adrian, MI",0.7300063042727115
167,167,"Port Angeles, WA",0.7293573542332507
41,41,"Coeur d'Alene, ID",0.7253335999848732
190,190,"St. George, UT",0.7247527370727628
126,126,"Lima, OH",0.7175983143090624
171,171,"Prescott, AZ",0.7144795248855416
156,156,"Olean, NY",0.7114330163511451
177,177,"Redding, CA",0.7070237856963596
210,210,"Springfield, MA",0.7022912648481145
151,151,"New Bern, NC",0.6825722212829568
109,109,"Johnstown, PA",0.6760933474294557
80,80,"Galesburg, IL",0.6614735582962713
130,130,"Lynchburg, VA",0.6588590834479903
105,105,"Jacksonville, FL",0.6553857192745849
145,145,"Montgomery, AL",0.6474561385509947
88,88,"Great Falls, MT",0.6451098622142637
168,168,"Port St. Lucie, FL",0.6332663321454628
97,97,"Hot Springs, AR",0.6291169487199931
133,133,"Mansfield, OH",0.6247732476024129
154,154,"Ocean City, NJ",0.6221184326744374
69,69,"Findlay, OH",0.6208617495997946
117,117,"Lafayette, LA",0.6177537009257573
